ApprovalYear,SponsorName,TotalApprovals,SponsorRank
1939,LILLY,2,1
1939,"ORGANON USA INC",2,1
1939,"MEDA PHARMS",1,3
1939,"MERCK SHARP DOHME",1,3
1940,"GD SEARLE LLC",1,1
1940,"ISO TEX",1,1
1940,POYTHRESS,1,1
1941,LEDERLE,1,1
1941,LILLY,1,1
1941,"US PHARM HOLDINGS",1,1
1942,HOSPIRA,1,1
1942,"PHARMACIA AND UPJOHN",1,1
1942,"US PHARM HOLDINGS",1,1
1942,"WYETH PHARMS INC",1,1
1943,"ENDO PHARMS",1,1
1943,"RECORDATI RARE",1,1
1943,SCHERING,1,1
1944,ABBVIE,1,1
1944,LILLY,1,1
1944,MERCK,1,1
1944,"ORGANON USA INC",1,1
1945,"BRISTOL MYERS SQUIBB",1,1
1945,"ORTHO MCNEIL PHARM",1,1
1945,SHIRE,1,1
1946,ABBVIE,1,1
1946,AKORN,1,1
1946,"B BRAUN",1,1
1946,"EDISON THERAPS LLC",1,1
1946,"ELKINS SINN",1,1
1946,LEDERLE,1,1
1946,"MCNEIL CONS",1,1
1946,NOVARTIS,1,1
1946,PFIZER,1,1
1946,VALEANT,1,1
1947,"B BRAUN",1,1
1947,"DAVA PHARMS INC",1,1
1947,HOSPIRA,1,1
1947,MALLINCKRODT,1,1
1947,"MCNEIL CONS",1,1
1947,"ORTHO MCNEIL PHARM",1,1
1947,PFIZER,1,1
1947,ROXANE,1,1
1947,"WYETH PHARMS INC",1,1
1948,NOVARTIS,3,1
1948,"DENTSPLY PHARM",2,2
1948,"FRESENIUS KABI USA",1,2
1948,"KING PHARMS",1,2
1948,"ODYSSEY PHARMS",1,2
1948,PFIZER,1,2
1948,"PHARMACIA AND UPJOHN",1,2
1948,"SANOFI AVENTIS US",1,2
1949,LEDERLE,2,1
1949,"SANOFI AVENTIS US",2,1
1949,ABBVIE,1,3
1949,"BAYER HLTHCARE",1,3
1949,HOSPIRA,1,3
1949,RANBAXY,1,3
1949,"RECORDATI RARE",1,3
1950,LEDERLE,2,1
1950,LILLY,2,2
1950,MERCK,2,2
1950,APOTHECON,1,4
1950,"BAXTER HLTHCARE",1,4
1950,"BAYER HEALTHCARE LLC",1,4
1950,"BRISTOL MYERS SQUIBB",1,4
1950,"CONSOLIDATED MIDLAND",1,4
1950,"ENDO PHARMS",1,4
1950,"FOREST LABS INC",1,4
1950,HOSPIRA,1,4
1950,"KING PHARMS",1,4
1950,PFIZER,1,4
1950,"PHARMACIA AND UPJOHN",1,4
1950,"SANOFI AVENTIS US",1,4
1951,MERCK,2,1
1951,ABBVIE,1,2
1951,"APTALIS PHARMA US",1,2
1951,ASTRAZENECA,1,2
1951,"BAXTER HLTHCARE CORP",1,2
1951,CHATTEM,1,2
1951,"DELCOR ASSET CORP",1,2
1951,"FOREST LABS",1,2
1951,"GE HEALTHCARE",1,2
1951,LEDERLE,1,2
1951,PARKEDALE,2,2
1951,"PHARMACIA AND UPJOHN",1,2
1951,SHIRE,1,2
1951,"TELIGENT PHARMA INC",1,2
1951,TEVA,1,2
1951,"TEVA WOMENS",1,2
1952,SANDOZ,3,1
1952,"ANI PHARMS",2,2
1952,"KING PHARMS",1,2
1952,PARKEDALE,2,2
1952,PFIZER,2,2
1952,"FOREST LABS INC",1,6
1952,HOSPIRA,1,6
1952,LEDERLE,1,6
1952,"MALLINCKRODT ARD",1,6
1952,MERCK,1,6
1952,NOVARTIS,1,6
1952,PANRAY,1,6
1952,"PHARMACIA AND UPJOHN",1,6
1952,"SANOFI AVENTIS US",1,6
1952,"VALEANT PHARM INTL",1,6
1953,"KING PHARMS",2,1
1953,PARKEDALE,3,2
1953,NOVARTIS,3,3
1953,HOSPIRA,2,4
1953,"SANOFI AVENTIS US",2,4
1953,APOTHECON,1,6
1953,"CASPER PHARMA LLC",1,6
1953,"CONCORDIA PHARMS INC",1,6
1953,"DAVA PHARMS INC",1,6
1953,"ENDO PHARMS",1,6
1953,"FOUGERA PHARMS",1,6
1953,LEDERLE,1,6
1953,MEDICIS,1,6
1953,"OAK PHARMS",1,6
1953,"PARKE DAVIS",1,6
1953,"PHARMACIA AND UPJOHN",1,6
1953,"PROCTER AND GAMBLE",1,6
1953,ROCHE,1,6
1953,SHIRE,1,6
1953,"STASON PHARMS",1,6
1953,"TEVA BRANDED PHARM",1,6
1953,"TURING PHARMS AG",1,6
1953,"VALEANT PHARM INTL",2,6
1953,"WYETH AYERST",1,6
1954,"KING PHARMS",2,1
1954,LEDERLE,3,2
1954,PARKEDALE,2,3
1954,"ANI PHARMS",2,4
1954,MERCK,2,4
1954,APOTHECON,1,6
1954,"ASPEN GLOBAL",1,6
1954,BLULINE,1,6
1954,"BOWMAN PHARMS",1,6
1954,BRACCO,1,6
1954,"BRISTOL MYERS SQUIBB",1,6
1954,"FOREST LABS",1,6
1954,"FRESENIUS KABI USA",1,6
1954,"GE HEALTHCARE",1,6
1954,GUERBET,1,6
1954,"PAR STERILE PRODUCTS",1,6
1954,"PHARMACIA AND UPJOHN",1,6
1954,"TEVA WOMENS",1,6
1954,VALEANT,1,6
1954,"VALEANT PHARM INTL",1,6
1955,"KING PHARMS",2,1
1955,LEDERLE,3,2
1955,"PHARMACIA AND UPJOHN",4,3
1955,SCHERING,2,4
1955,"ANI PHARMS",1,5
1955,BRACCO,1,5
1955,"CASPER PHARMA LLC",1,5
1955,"CONCORDIA PHARMS INC",1,5
1955,"FRESENIUS KABI USA",1,5
1955,"GE HEALTHCARE",1,5
1955,GLENWOOD,1,5
1955,LANNETT,1,5
1955,"MEDPOINTE PHARM HLC",1,5
1955,"MONARCH PHARMS",1,5
1955,NOVARTIS,1,5
1955,PANRAY,1,5
1955,PARKEDALE,1,5
1955,RANBAXY,1,5
1955,STORZ,1,5
1955,"UCB INC",1,5
1955,"VALEANT PHARM INTL",1,5
1955,"VALEANT PHARMS",1,5
1955,"VALEANT PHARMS LLC",1,5
1955,"WYETH AYERST",1,5
1956,"KING PHARMS",2,1
1956,PARKEDALE,2,2
1956,PFIZER,3,2
1956,"SANOFI AVENTIS US",3,2
1956,3M,2,5
1956,"BAXTER HLTHCARE CORP",1,5
1956,"GE HEALTHCARE",1,5
1956,GLAXOSMITHKLINE,1,5
1956,HOSPIRA,1,5
1956,"KING PHARMS R AND D",1,5
1956,MERCK,1,5
1956,NOVARTIS,1,5
1956,"NURO PHARMA",1,5
1956,"PARKE DAVIS",1,5
1956,"PHARMACIA AND UPJOHN",1,5
1956,ROERIG,1,5
1956,TARGACEPT,1,5
1956,"WYETH AYERST",1,5
1956,"WYETH PHARMS INC",1,5
1957,GLAXOSMITHKLINE,6,1
1957,LEDERLE,2,2
1957,"WYETH AYERST",4,3
1957,SCHERING,2,4
1957,"XANODYNE PHARM",2,4
1957,3M,1,6
1957,ABBVIE,1,6
1957,"ANI PHARMS",1,6
1957,"ASPEN GLOBAL INC",1,6
1957,ASTELLAS,1,6
1957,"AUXILIUM PHARMS LLC",1,6
1957,BRACCO,2,6
1957,BRISTOL,1,6
1957,"BRISTOL MYERS SQUIBB",1,6
1957,"CASPER PHARMA LLC",1,6
1957,"HERITAGE PHARMS INC",1,6
1957,"MCNEIL CONS",1,6
1957,"MEDPOINTE PHARM HLC",1,6
1957,MERCK,1,6
1957,"MONARCH PHARMS",1,6
1957,"ORGANICS LAGRANGE",1,6
1957,"ORGANON USA INC",1,6
1957,"PAR PHARM",1,6
1957,"PARKE DAVIS",1,6
1957,PARKEDALE,1,6
1957,PFIZER,1,6
1957,"PHARMACIA AND UPJOHN",1,6
1957,"RECORDATI RARE",1,6
1957,"SANOFI AVENTIS US",1,6
1957,STORZ,1,6
1957,"WYETH CONS",1,6
1958,LEDERLE,4,1
1958,"HERITAGE PHARMS INC",1,2
1958,"WYETH AYERST",4,2
1958,BRACCO,3,4
1958,"DELCOR ASSET CORP",2,5
1958,MERCK,2,5
1958,PARKEDALE,2,5
1958,PFIZER,2,5
1958,APOTHECON,1,9
1958,ASTRAZENECA,1,9
1958,"BEL MAR",1,9
1958,"CONCORDIA PHARMS INC",1,9
1958,"JANSSEN R AND D",1,9
1958,"OAK PHARMS AKORN",1,9
1958,"PHARM RES ASSOC",1,9
1958,SCHERING,1,9
1958,SHIRE,1,9
1958,"SUN PHARM INDS",1,9
1958,TARO,1,9
1959,LEDERLE,4,1
1959,MERCK,5,2
1959,NOVARTIS,3,3
1959,"PHARMACIA AND UPJOHN",3,3
1959,ABBVIE,2,5
1959,APOTHECON,2,5
1959,GLAXOSMITHKLINE,2,5
1959,"HERITAGE PHARMS INC",1,5
1959,3M,1,9
1959,"ACTAVIS LABS UT INC",1,9
1959,AKORN,1,9
1959,ALCON,1,9
1959,ASTELLAS,1,9
1959,"BAXTER HLTHCARE",2,9
1959,"ENDO PHARMS",1,9
1959,"EUROHLTH INTL SARL",1,9
1959,"FRESENIUS KABI USA",1,9
1959,HOSPIRA,1,9
1959,IMMUNEX,1,9
1959,MALLINCKRODT,1,9
1959,"MEDA PHARMS",1,9
1959,MEDICIS,1,9
1959,"OAK PHARMS AKORN",1,9
1959,"ORGANON USA INC",1,9
1959,PARKEDALE,1,9
1959,PFIZER,1,9
1959,SANDOZ,1,9
1959,"SANOFI AVENTIS US",1,9
1959,SCHERING,1,9
1959,"SHIRE LLC",1,9
1959,"UCB INC",1,9
1959,"VALEANT PHARMS LLC",1,9
1959,"VALIDUS PHARMS INC",1,9
1960,LEDERLE,5,1
1960,"KING PHARMS",2,2
1960,"PHARMACIA AND UPJOHN",3,2
1960,APOTHECON,2,4
1960,"DELCOR ASSET CORP",2,4
1960,"GD SEARLE LLC",2,4
1960,"HERITAGE PHARMS INC",1,4
1960,"MEDA PHARMS",2,4
1960,MERCK,2,4
1960,NOVARTIS,2,4
1960,"SANOFI AVENTIS US",2,4
1960,SCHERING,2,4
1960,3M,1,13
1960,ABBVIE,1,13
1960,"ACTAVIS LABS UT INC",1,13
1960,"AH ROBINS INC",1,13
1960,ALCON,1,13
1960,CARACO,1,13
1960,"EASTMAN KODAK",1,13
1960,"ENDO PHARMS",1,13
1960,"EUROHLTH INTL SARL",1,13
1960,"HI TECH PHARMA",1,13
1960,HOSPIRA,1,13
1960,"IGI LABS INC",1,13
1960,LILLY,1,13
1960,"MONARCH PHARMS",1,13
1960,"ORGANON USA INC",1,13
1960,"PAR STERILE PRODUCTS",1,13
1960,"PARKE DAVIS",1,13
1960,"PROCTER AND GAMBLE",1,13
1960,"ROBINS AH",1,13
1960,SHIRE,1,13
1960,"TELIGENT PHARMA INC",1,13
1960,"TEVA WOMENS",1,13
1960,"VALEANT PHARM INTL",1,13
1960,"WYETH PHARMS INC",1,13
