DosageForm,Dosage,ProductCount
TABLET;ORAL,10MG,842
TABLET;ORAL,50MG,749
TABLET;ORAL,5MG,740
TABLET;ORAL,100MG,628
TABLET;ORAL,25MG,607
TABLET;ORAL,500MG,457
TABLET;ORAL,20MG,426
TABLET;ORAL,200MG,421
TABLET;ORAL,1MG,343
TABLET;ORAL,250MG,318
TABLET;ORAL,2MG,311
TABLET;ORAL,"EQ 10MG BASE",248
TABLET;ORAL,40MG,234
INJECTABLE;INJECTION,"EQ 1GM BASE/VIAL",223
TABLET;ORAL,2.5MG,211
TABLET;ORAL,150MG,203
CAPSULE;ORAL,100MG,195
TABLET;ORAL,4MG,193
INJECTABLE;INJECTION,50MG/ML,190
TABLET;ORAL,400MG,184
TABLET;ORAL,300MG,177
TABLET;ORAL,0.5MG,172
INJECTABLE;INJECTION,10MG/ML,170
INJECTABLE;INJECTION,"EQ 500MG BASE/VIAL",165
CAPSULE;ORAL,25MG,161
CAPSULE;ORAL,50MG,160
TABLET;ORAL,15MG,157
TABLET;ORAL,"EQ 5MG BASE",155
CAPSULE;ORAL,10MG,147
CAPSULE;ORAL,250MG,139
INJECTABLE;INJECTION,1MG/ML,138
TABLET;ORAL,80MG,137
TABLET;ORAL,30MG,132
TABLET;ORAL,600MG,128
INJECTABLE;INJECTION,"EQ 2GM BASE/VIAL",126
TABLET;ORAL,"EQ 20MG BASE",126
TABLET;ORAL,"EQ 100MG BASE",124
TABLET;ORAL,"EQ 250MG BASE",117
TABLET;ORAL,"EQ 500MG BASE",114
CAPSULE;ORAL,30MG,114
TABLET;ORAL,0.25MG,112
INJECTABLE;INJECTION,25MG/ML,110
CAPSULE;ORAL,200MG,110
TABLET;ORAL,12.5MG,103
TABLET;ORAL,75MG,103
INJECTABLE;INJECTION,100MG/ML,100
CAPSULE;ORAL,5MG,97
TABLET;ORAL,"EQ 25MG BASE",96
CAPSULE;ORAL,300MG,95
TABLET;ORAL,"EQ 50MG BASE",95
CAPSULE;ORAL,500MG,94
TABLET;ORAL,750MG,93
TABLET;ORAL,"EQ 4MG BASE",92
INJECTABLE;INJECTION,"EQ 5MG BASE/ML",90
CAPSULE;ORAL,"EQ 250MG BASE",88
INJECTABLE;INJECTION,5MG/ML,85
TABLET;ORAL,800MG,85
TABLET;ORAL,7.5MG,84
INJECTABLE;INJECTION,"EQ 10GM BASE/VIAL",83
CAPSULE;ORAL,"EQ 50MG BASE",82
TABLET;ORAL,60MG,81
"TABLET, EXTENDED RELEASE;ORAL",500MG,81
CAPSULE;ORAL,"EQ 500MG BASE",81
TABLET;ORAL,1GM,78
"TABLET, EXTENDED RELEASE;ORAL",100MG,78
CAPSULE;ORAL,"EQ 100MG BASE",78
TABLET;ORAL,"EQ 1MG BASE",77
TABLET;ORAL,"EQ 2MG BASE",77
TABLET;ORAL,35MG,76
TABLET;ORAL,"EQ 40MG BASE",74
CAPSULE;ORAL,15MG,73
CREAM;TOPICAL,1%,71
INJECTABLE;INJECTION,2MG/ML,69
TABLET;ORAL,0.1MG,68
TABLET;ORAL,"EQ 2.5MG BASE",67
TABLET;ORAL,3MG,66
INJECTABLE;INJECTION,20MG/ML,65
GAS;INHALATION,N/A,65
CAPSULE;ORAL,"EQ 10MG BASE",64
INJECTABLE;INJECTION,"EQ 2MG BASE/ML",62
TABLET;ORAL,"EQ 150MG BASE",62
CAPSULE;ORAL,20MG,60
INJECTABLE;INJECTION,"EQ 10MG BASE/ML",59
TABLET;ORAL,1.5MG,59
"TABLET, EXTENDED RELEASE;ORAL",10MG,58
INJECTABLE;INJECTION,N/A,58
TABLET;ORAL,"EQ 75MG BASE",58
TABLET;ORAL,"EQ 300MG BASE",57
INJECTABLE;INJECTION,2%,57
TABLET;ORAL,120MG,55
SYRUP;ORAL,5MG/5ML,55
INJECTABLE;INJECTION,"100 UNITS/ML",54
INJECTABLE;INJECTION,"EQ 1MG BASE/ML",54
CREAM;TOPICAL,0.1%,54
CREAM;TOPICAL,0.05%,53
"TABLET, EXTENDED RELEASE;ORAL",200MG,53
INJECTABLE;INJECTION,"EQ 40MG BASE/ML",52
INJECTABLE;INJECTION,1%,52
TABLET;ORAL,8MG,51
"TABLET, EXTENDED RELEASE;ORAL",750MG,51
TABLET;ORAL,"EQ 8MG BASE",50
"TABLET, EXTENDED RELEASE;ORAL",300MG,49
CAPSULE;ORAL,150MG,47
SOLUTION;TOPICAL,2%,46
"TABLET, EXTENDED RELEASE;ORAL",30MG,46
