ApprovalYear,DosageForm,TotalApprovals
NULL,CAPSULE;ORAL,1
1939,INJECTABLE;INJECTION,3
1939,TABLET;ORAL,3
1940,INJECTABLE;INJECTION,1
1940,POWDER;TOPICAL,1
1940,TABLET;ORAL,1
1941,TABLET;ORAL,2
1942,INJECTABLE;INJECTION,3
1943,TABLET;ORAL,3
1944,INJECTABLE;INJECTION,2
1944,TABLET;ORAL,2
1945,CREAM;VAGINAL,1
1945,INJECTABLE;INJECTION,1
1945,OINTMENT;TOPICAL,1
1945,TABLET;VAGINAL,1
1946,INJECTABLE;INJECTION,6
1947,INJECTABLE;INJECTION,5
1948,INJECTABLE;INJECTION,8
1949,INJECTABLE;INJECTION,4
1950,INJECTABLE;INJECTION,9
1951,TABLET;ORAL,8
1952,INJECTABLE;INJECTION,10
1953,INJECTABLE;INJECTION,11
1953,TABLET;ORAL,11
1954,INJECTABLE;INJECTION,11
1955,TABLET;ORAL,14
1956,INJECTABLE;INJECTION,8
1956,TABLET;ORAL,8
1957,TABLET;ORAL,17
1958,INJECTABLE;INJECTION,9
1959,TABLET;ORAL,17
1960,TABLET;ORAL,17
1961,TABLET;ORAL,15
1962,INJECTABLE;INJECTION,8
1962,TABLET;ORAL,8
1963,TABLET;ORAL,6
1964,TABLET;ORAL,17
1965,INJECTABLE;INJECTION,13
1966,INJECTABLE;INJECTION,12
1967,TABLET;ORAL,11
1968,INJECTABLE;INJECTION,10
1969,INJECTABLE;INJECTION,10
1970,CAPSULE;ORAL,15
1970,INJECTABLE;INJECTION,15
1971,INJECTABLE;INJECTION,39
1972,INJECTABLE;INJECTION,42
1973,TABLET;ORAL,41
1974,TABLET;ORAL,95
1975,TABLET;ORAL,132
1976,TABLET;ORAL,186
1977,TABLET;ORAL,198
1978,INJECTABLE;INJECTION,207
1979,INJECTABLE;INJECTION,239
1980,INJECTABLE;INJECTION,250
1981,INJECTABLE;INJECTION,297
1982,TABLET;ORAL,452
1983,TABLET;ORAL,469
1984,TABLET;ORAL,476
1985,TABLET;ORAL,556
1986,TABLET;ORAL,680
1987,TABLET;ORAL,729
1988,TABLET;ORAL,925
1989,TABLET;ORAL,753
1990,TABLET;ORAL,654
1991,TABLET;ORAL,837
1992,TABLET;ORAL,832
1993,TABLET;ORAL,708
1994,TABLET;ORAL,887
1995,TABLET;ORAL,801
1996,TABLET;ORAL,807
1997,TABLET;ORAL,916
1998,TABLET;ORAL,1102
1999,TABLET;ORAL,858
2000,TABLET;ORAL,1006
2001,TABLET;ORAL,1025
2002,TABLET;ORAL,1045
2003,TABLET;ORAL,344
2004,TABLET;ORAL,365
2005,TABLET;ORAL,324
2006,TABLET;ORAL,349
2007,TABLET;ORAL,505
2008,TABLET;ORAL,407
2009,TABLET;ORAL,405
2010,TABLET;ORAL,384
2011,TABLET;ORAL,470
2012,TABLET;ORAL,499
2013,TABLET;ORAL,481
2014,TABLET;ORAL,502
2015,TABLET;ORAL,527
2016,TABLET;ORAL,432
