ApprovalYear,TECode,TotalApprovals
1941,AA,1
1942,AP,4
1943,AA,1
1946,AP,2
1947,AA,2
1948,AP,11
1949,AA,1
1950,AB,4
1951,AT,1
1952,AP,4
1952,AB,4
1952,BC,4
1953,AB,5
1954,AB,11
1955,AP,9
1956,AB,3
1957,AB,7
1958,AB,12
1959,AB,12
1960,AB,9
1961,BC,13
1962,BC,4
1963,BC,21
1964,AP,11
1965,BC,10
1966,BC,9
1967,AP,16
1968,AP,20
1969,BC,13
1970,AB,33
1971,AB,77
1972,AP,67
1973,AB,93
1974,AB,141
1975,AP,242
1976,AP,439
1977,AP,229
1978,AP,487
1979,AP,491
1980,AP,742
1981,AP,827
1982,AP,730
1983,AB,526
1984,AP,726
1985,AP,974
1986,AB,684
1987,AB,909
1988,AB,1152
1989,AB,936
1990,AB,770
1991,AB,952
1992,AB,1017
1993,AB,1320
1994,AB,1199
1995,AB,1556
1996,AB,1650
1997,AB,1894
1998,AB,2518
1999,AB,2606
2000,AB,3047
2001,AB,2957
2002,AB,3563
2003,AB,1219
2004,AB,1321
2005,AB,1231
2006,AB,1472
2007,AB,1792
2008,AB,1511
2009,AB,1554
2010,AB,1559
2011,AB,2026
2012,AB,2039
2013,AB,2131
2014,AB,2215
2015,AB,1965
2016,AB,1449
