ApprovalYear,SponsorApplicant,TotalApprovals
NULL,"MERCK SHARP DOHME",1
1939,LILLY,2
1939,"ORGANON USA INC",2
1939,"MEDA PHARMS",1
1939,"MERCK SHARP DOHME",1
1940,"GD SEARLE LLC",1
1940,"ISO TEX",1
1940,POYTHRESS,1
1941,LEDERLE,1
1941,LILLY,1
1941,"US PHARM HOLDINGS",1
1942,HOSPIRA,1
1942,"PHARMACIA AND UPJOHN",1
1942,"US PHARM HOLDINGS",1
1942,"WYETH PHARMS INC",1
1943,"ENDO PHARMS",1
1943,"RECORDATI RARE",1
1943,SCHERING,1
1944,ABBVIE,1
1944,LILLY,1
1944,MERCK,1
1944,"ORGANON USA INC",1
1945,"BRISTOL MYERS SQUIBB",1
1945,"ORTHO MCNEIL PHARM",1
1945,SHIRE,1
1946,ABBVIE,1
1946,AKORN,1
1946,"B BRAUN",1
1946,"EDISON THERAPS LLC",1
1946,"ELKINS SINN",1
1946,LEDERLE,1
1946,"MCNEIL CONS",1
1946,NOVARTIS,1
1946,PFIZER,1
1946,VALEANT,1
1947,"B BRAUN",1
1947,"DAVA PHARMS INC",1
1947,HOSPIRA,1
1947,MALLINCKRODT,1
1947,"MCNEIL CONS",1
1947,"ORTHO MCNEIL PHARM",1
1947,PFIZER,1
1947,ROXANE,1
1947,"WYETH PHARMS INC",1
1948,NOVARTIS,3
1948,"DENTSPLY PHARM",2
1948,"FRESENIUS KABI USA",1
1948,"KING PHARMS",1
1948,"ODYSSEY PHARMS",1
1948,PFIZER,1
1948,"PHARMACIA AND UPJOHN",1
1948,"SANOFI AVENTIS US",1
1949,LEDERLE,2
1949,"SANOFI AVENTIS US",2
1949,ABBVIE,1
1949,"BAYER HLTHCARE",1
1949,HOSPIRA,1
1949,RANBAXY,1
1949,"RECORDATI RARE",1
1950,LEDERLE,2
1950,LILLY,2
1950,MERCK,2
1950,APOTHECON,1
1950,"BAXTER HLTHCARE",1
1950,"BAYER HEALTHCARE LLC",1
1950,"BRISTOL MYERS SQUIBB",1
1950,"CONSOLIDATED MIDLAND",1
1950,"ENDO PHARMS",1
1950,"FOREST LABS INC",1
1950,HOSPIRA,1
1950,"KING PHARMS",1
1950,PFIZER,1
1950,"PHARMACIA AND UPJOHN",1
1950,"SANOFI AVENTIS US",1
1951,MERCK,2
1951,PARKEDALE,2
1951,ABBVIE,1
1951,"APTALIS PHARMA US",1
1951,ASTRAZENECA,1
1951,"BAXTER HLTHCARE CORP",1
1951,CHATTEM,1
1951,"DELCOR ASSET CORP",1
1951,"FOREST LABS",1
1951,"GE HEALTHCARE",1
1951,LEDERLE,1
1951,"PHARMACIA AND UPJOHN",1
1951,SHIRE,1
1951,"TELIGENT PHARMA INC",1
1951,TEVA,1
1951,"TEVA WOMENS",1
1952,SANDOZ,3
1952,"ANI PHARMS",2
1952,PARKEDALE,2
1952,PFIZER,2
1952,"FOREST LABS INC",1
1952,HOSPIRA,1
1952,"KING PHARMS",1
1952,LEDERLE,1
1952,"MALLINCKRODT ARD",1
1952,MERCK,1
1952,NOVARTIS,1
1952,PANRAY,1
1952,"PHARMACIA AND UPJOHN",1
1952,"SANOFI AVENTIS US",1
1952,"VALEANT PHARM INTL",1
1953,NOVARTIS,3
1953,PARKEDALE,3
1953,HOSPIRA,2
1953,"KING PHARMS",2
1953,"SANOFI AVENTIS US",2
1953,"VALEANT PHARM INTL",2
1953,APOTHECON,1
1953,"CASPER PHARMA LLC",1
1953,"CONCORDIA PHARMS INC",1
1953,"DAVA PHARMS INC",1
1953,"ENDO PHARMS",1
1953,"FOUGERA PHARMS",1
1953,LEDERLE,1
1953,MEDICIS,1
1953,"OAK PHARMS",1
1953,"PARKE DAVIS",1
1953,"PHARMACIA AND UPJOHN",1
1953,"PROCTER AND GAMBLE",1
1953,ROCHE,1
1953,SHIRE,1
1953,"STASON PHARMS",1
1953,"TEVA BRANDED PHARM",1
1953,"TURING PHARMS AG",1
1953,"WYETH AYERST",1
1954,LEDERLE,3
1954,"ANI PHARMS",2
1954,"KING PHARMS",2
1954,MERCK,2
1954,PARKEDALE,2
1954,APOTHECON,1
1954,"ASPEN GLOBAL",1
1954,BLULINE,1
1954,"BOWMAN PHARMS",1
1954,BRACCO,1
1954,"BRISTOL MYERS SQUIBB",1
1954,"FOREST LABS",1
1954,"FRESENIUS KABI USA",1
1954,"GE HEALTHCARE",1
1954,GUERBET,1
1954,"PAR STERILE PRODUCTS",1
1954,"PHARMACIA AND UPJOHN",1
1954,"TEVA WOMENS",1
1954,VALEANT,1
1954,"VALEANT PHARM INTL",1
1955,"PHARMACIA AND UPJOHN",4
1955,LEDERLE,3
1955,"KING PHARMS",2
1955,SCHERING,2
1955,"ANI PHARMS",1
