DosageForm,Dosage,Drugname,TotalApprovals
TABLET;ORAL,200MG,IBUPROFEN,41
TABLET;ORAL,"EQ 10MG BASE","AMLODIPINE BESYLATE",36
TABLET;ORAL,"EQ 5MG BASE","AMLODIPINE BESYLATE",36
TABLET;ORAL,"EQ 2.5MG BASE","AMLODIPINE BESYLATE",35
TABLET;ORAL,1GM,"METFORMIN HYDROCHLORIDE",31
TABLET;ORAL,500MG,"METFORMIN HYDROCHLORIDE",31
TABLET;ORAL,850MG,"METFORMIN HYDROCHLORIDE",31
"TABLET, EXTENDED RELEASE;ORAL",150MG,"BUPROPION HYDROCHLORIDE",29
TABLET;ORAL,50MG,HYDROCHLOROTHIAZIDE,28
TABLET;ORAL,1MG,"FOLIC ACID",27
"TABLET, EXTENDED RELEASE;ORAL",500MG,"METFORMIN HYDROCHLORIDE",27
CAPSULE;ORAL,30MG,"PHENTERMINE HYDROCHLORIDE",27
TABLET;ORAL,250MG,LEVETIRACETAM,26
TABLET;ORAL,"EQ 100MG BASE","SERTRALINE HYDROCHLORIDE",26
INJECTABLE;INJECTION,"EQ 2MG BASE/ML","ONDANSETRON HYDROCHLORIDE",26
TABLET;ORAL,"EQ 20MG BASE","CITALOPRAM HYDROBROMIDE",26
TABLET;ORAL,"EQ 25MG BASE","SERTRALINE HYDROCHLORIDE",26
TABLET;ORAL,"EQ 40MG BASE","CITALOPRAM HYDROBROMIDE",26
TABLET;ORAL,"EQ 50MG BASE","SERTRALINE HYDROCHLORIDE",26
TABLET;ORAL,10MG,"DONEPEZIL HYDROCHLORIDE",25
TABLET;ORAL,500MG,LEVETIRACETAM,25
TABLET;ORAL,5MG,"DONEPEZIL HYDROCHLORIDE",25
TABLET;ORAL,750MG,LEVETIRACETAM,25
TABLET;ORAL,"EQ 10MG BASE","CITALOPRAM HYDROBROMIDE",25
TABLET;ORAL,25MG,HYDROCHLOROTHIAZIDE,24
TABLET;ORAL,100MG,LAMOTRIGINE,23
TABLET;ORAL,150MG,LAMOTRIGINE,23
TABLET;ORAL,1GM,LEVETIRACETAM,23
TABLET;ORAL,200MG,LAMOTRIGINE,23
TABLET;ORAL,25MG,LAMOTRIGINE,23
TABLET;ORAL,400MG,IBUPROFEN,23
TABLET;ORAL,100MG,CAPTOPRIL,22
TABLET;ORAL,100MG,TOPIRAMATE,22
TABLET;ORAL,12.5MG,CAPTOPRIL,22
TABLET;ORAL,15MG,MELOXICAM,22
TABLET;ORAL,200MG,TOPIRAMATE,22
TABLET;ORAL,20MG,FAMOTIDINE,22
TABLET;ORAL,25MG,CAPTOPRIL,22
TABLET;ORAL,25MG,TOPIRAMATE,22
TABLET;ORAL,300MG;30MG,"ACETAMINOPHEN AND CODEINE PHOSPHATE",22
TABLET;ORAL,50MG,CAPTOPRIL,22
TABLET;ORAL,7.5MG,MELOXICAM,22
TABLET;ORAL,"EQ 150MG BASE","RANITIDINE HYDROCHLORIDE",22
CAPSULE;ORAL,"EQ 10MG BASE","FLUOXETINE HYDROCHLORIDE",22
CAPSULE;ORAL,"EQ 20MG BASE","FLUOXETINE HYDROCHLORIDE",22
INJECTABLE;INJECTION,30MG/ML,"KETOROLAC TROMETHAMINE",22
INJECTABLE;INTRAVENOUS,20-300mCi/ML,"FLUDEOXYGLUCOSE F18",22
INJECTABLE;INTRAVENOUS,10-200mCi/ML,"SODIUM FLUORIDE F-18",21
TABLET;ORAL,0.25MG,RISPERIDONE,21
TABLET;ORAL,0.5MG,RISPERIDONE,21
TABLET;ORAL,100MG,ATENOLOL,21
TABLET;ORAL,10MG,"ZOLPIDEM TARTRATE",21
TABLET;ORAL,1MG,RISPERIDONE,21
TABLET;ORAL,250MG,NAPROXEN,21
TABLET;ORAL,2MG,RISPERIDONE,21
TABLET;ORAL,375MG,NAPROXEN,21
TABLET;ORAL,3MG,RISPERIDONE,21
TABLET;ORAL,4MG,RISPERIDONE,21
TABLET;ORAL,500MG,NAPROXEN,21
TABLET;ORAL,50MG,ATENOLOL,21
TABLET;ORAL,50MG,"TRAMADOL HYDROCHLORIDE",21
TABLET;ORAL,5MG,"ZOLPIDEM TARTRATE",21
TABLET;ORAL,100MG,"LOSARTAN POTASSIUM",20
TABLET;ORAL,10MG,"HYDROXYZINE HYDROCHLORIDE",20
TABLET;ORAL,25MG,"HYDROXYZINE HYDROCHLORIDE",20
TABLET;ORAL,25MG,"LOSARTAN POTASSIUM",20
TABLET;ORAL,50MG,"HYDRALAZINE HYDROCHLORIDE",20
TABLET;ORAL,50MG,"LOSARTAN POTASSIUM",20
TABLET;ORAL,50MG,TOPIRAMATE,20
TABLET;ORAL,5MG,"CETIRIZINE HYDROCHLORIDE ALLERGY",20
TABLET;ORAL,600MG,IBUPROFEN,20
TABLET;ORAL,800MG,IBUPROFEN,20
INJECTABLE;INJECTION,"40MG/2ML (20MG/ML)","IRINOTECAN HYDROCHLORIDE",20
INJECTABLE;INJECTION,"EQ 5MG BASE/ML","MIDAZOLAM HYDROCHLORIDE",20
INJECTABLE;INJECTION,"100MG/5ML (20MG/ML)","IRINOTECAN HYDROCHLORIDE",20
INJECTABLE;INJECTION,15MG/ML,"KETOROLAC TROMETHAMINE",19
INJECTABLE;INJECTION,"EQ 2MG BASE/ML","ONDANSETRON HYDROCHLORIDE PRESERVATIVE FREE",19
"INJECTABLE;IV (INFUSION)","150MG/15ML (10MG/ML)",CARBOPLATIN,19
"INJECTABLE;IV (INFUSION)","450MG/45ML (10MG/ML)",CARBOPLATIN,19
"INJECTABLE;IV (INFUSION)","50MG/5ML (10MG/ML)",CARBOPLATIN,19
TABLET;ORAL,10MG,"CETIRIZINE HYDROCHLORIDE ALLERGY",19
TABLET;ORAL,150MG,IRBESARTAN,19
TABLET;ORAL,200MG,CIMETIDINE,19
TABLET;ORAL,300MG,IRBESARTAN,19
TABLET;ORAL,350MG,CARISOPRODOL,19
TABLET;ORAL,50MG,"HYDROXYZINE HYDROCHLORIDE",19
TABLET;ORAL,75MG,IRBESARTAN,19
TABLET;ORAL,"EQ 10MG BASE","MONTELUKAST SODIUM",19
"TABLET, EXTENDED RELEASE;ORAL",500MG,LEVETIRACETAM,19
"TABLET, EXTENDED RELEASE;ORAL",750MG,LEVETIRACETAM,19
TABLET;ORAL,"EQ 250MG BASE","CIPROFLOXACIN HYDROCHLORIDE",18
TABLET;ORAL,"EQ 500MG BASE","CIPROFLOXACIN HYDROCHLORIDE",18
TABLET;ORAL,"EQ 750MG BASE","CIPROFLOXACIN HYDROCHLORIDE",18
CAPSULE;ORAL,100MG,GABAPENTIN,18
CAPSULE;ORAL,300MG,GABAPENTIN,18
CAPSULE;ORAL,400MG,GABAPENTIN,18
TABLET;ORAL,2.5MG,LETROZOLE,18
TABLET;ORAL,25MG,"HYDRALAZINE HYDROCHLORIDE",18
TABLET;ORAL,300MG;60MG,"ACETAMINOPHEN AND CODEINE PHOSPHATE",18
TABLET;ORAL,0.125MG,"PRAMIPEXOLE DIHYDROCHLORIDE",17
TABLET;ORAL,0.25MG,"PRAMIPEXOLE DIHYDROCHLORIDE",17
TABLET;ORAL,0.5MG,"PRAMIPEXOLE DIHYDROCHLORIDE",17
TABLET;ORAL,1.5MG,"PRAMIPEXOLE DIHYDROCHLORIDE",17
TABLET;ORAL,10MG,LISINOPRIL,17
TABLET;ORAL,10MG,"MEMANTINE HYDROCHLORIDE",17
TABLET;ORAL,12.5MG,CARVEDILOL,17
TABLET;ORAL,1MG,ANASTROZOLE,17
TABLET;ORAL,1MG,"PRAMIPEXOLE DIHYDROCHLORIDE",17
TABLET;ORAL,2.5MG,LISINOPRIL,17
TABLET;ORAL,20MG,LISINOPRIL,17
TABLET;ORAL,250MG,LEVOFLOXACIN,17
TABLET;ORAL,25MG,CARVEDILOL,17
TABLET;ORAL,3.125MG,CARVEDILOL,17
TABLET;ORAL,30MG,LISINOPRIL,17
TABLET;ORAL,40MG,FAMOTIDINE,17
TABLET;ORAL,40MG,LISINOPRIL,17
TABLET;ORAL,500MG,LEVOFLOXACIN,17
TABLET;ORAL,500MG;5MG,"HYDROCODONE BITARTRATE AND ACETAMINOPHEN",17
