TherapeuticClass,Drugname,TotalApprovals,ApprovalYear
AB,"MONTELUKAST SODIUM",25,2012
AB,"DONEPEZIL HYDROCHLORIDE",19,2011
AB,LEVETIRACETAM,16,2009
AB,PREDNISONE,16,1994
AB,TOPIRAMATE,16,2009
AB,"PROPRANOLOL HYDROCHLORIDE",15,1991
AP,"FLUDEOXYGLUCOSE F18",15,2015
AB,"AMITRIPTYLINE HYDROCHLORIDE",15,2002
AB,CARVEDILOL,15,2007
AB,LAMOTRIGINE,15,2009
AB,MELOXICAM,15,2006
AB,IRBESARTAN,14,2012
AB,"PROPRANOLOL HYDROCHLORIDE",14,1988
AB,"AMITRIPTYLINE HYDROCHLORIDE",14,1993
AB,"AMITRIPTYLINE HYDROCHLORIDE",14,1995
AB,"AMITRIPTYLINE HYDROCHLORIDE",14,2001
AB,"AMLODIPINE BESYLATE",14,2007
AP,"ZOLEDRONIC ACID",14,2013
AP,"SODIUM FLUORIDE F-18",13,2015
AB,"MEMANTINE HYDROCHLORIDE",13,2015
AP,"GRANISETRON HYDROCHLORIDE",13,2008
AB,ATENOLOL,13,1997
AB,ATENOLOL,13,2000
AB,PREDNISONE,13,1988
AB,PREDNISONE,13,1991
AB,PREDNISONE,13,1995
AB,PREDNISONE,12,1997
AB,"QUETIAPINE FUMARATE",12,2012
AB,"ZOLPIDEM TARTRATE",12,2007
AB,"ESCITALOPRAM OXALATE",12,2012
AB,LEVETIRACETAM,12,2011
AB,"LOSARTAN POTASSIUM",12,2010
AB,"METFORMIN HYDROCHLORIDE",12,2002
AP,"IRINOTECAN HYDROCHLORIDE",12,2008
AB,"AMITRIPTYLINE HYDROCHLORIDE",12,1983
AB,"AMITRIPTYLINE HYDROCHLORIDE",12,1984
AB,"AMITRIPTYLINE HYDROCHLORIDE",12,1998
AB,"AMITRIPTYLINE HYDROCHLORIDE",12,1999
AB,"CLOPIDOGREL BISULFATE",12,2012
AP,"FLUDEOXYGLUCOSE F18",12,2014
AT,"TRIAMCINOLONE ACETONIDE",12,1986
BP,DEXAMETHASONE,11,1983
BP,DEXAMETHASONE,11,1984
BP,DEXAMETHASONE,11,1988
BP,DEXAMETHASONE,11,1994
BP,DEXAMETHASONE,11,1995
AB,"DOXYCYCLINE HYCLATE",11,1993
AB,"DOXYCYCLINE HYCLATE",11,2002
AB,"HYDROXYZINE HYDROCHLORIDE",11,2008
AB,LEVOFLOXACIN,11,2011
AB,OLANZAPINE,11,2012
AP,"GEMCITABINE HYDROCHLORIDE",11,2011
AB,ATENOLOL,11,1993
AB,ATENOLOL,11,1994
AB,"CIPROFLOXACIN HYDROCHLORIDE",11,2004
AB,ANASTROZOLE,10,2010
AB,ATENOLOL,10,1999
AB,"DESIPRAMINE HYDROCHLORIDE",10,1989
AB,"DESIPRAMINE HYDROCHLORIDE",10,1992
AB,"DESIPRAMINE HYDROCHLORIDE",10,1993
AB,"DESIPRAMINE HYDROCHLORIDE",10,1995
AT,"TRIAMCINOLONE ACETONIDE",10,1988
AB,"PRAMIPEXOLE DIHYDROCHLORIDE",10,2010
AB,PREDNISONE,10,1990
AB,PREDNISONE,10,1996
AB,"PROPRANOLOL HYDROCHLORIDE",10,1986
AB,"PROPRANOLOL HYDROCHLORIDE",10,1987
AB,"PROPRANOLOL HYDROCHLORIDE",10,1989
AB,"PROPRANOLOL HYDROCHLORIDE",10,1998
AB,"PROPRANOLOL HYDROCHLORIDE",10,1999
AB,"PROPRANOLOL HYDROCHLORIDE",10,2002
AB,RISPERIDONE,10,2008
AB,"TERBINAFINE HYDROCHLORIDE",10,2007
AB,"TRAZODONE HYDROCHLORIDE",10,2000
